105 0.396 0.013 0.010
115 0.406 0.012 0.009
125 0.437 0.014 0.010
135 0.466 0.016 0.012
145 0.486 0.019 0.013
155 0.498 0.023 0.015
165 0.502 0.028 0.017
175 0.503 0.034 0.019
185 0.501 0.040 0.022
195 0.500 0.047 0.025
205 0.499 0.053 0.029
215 0.499 0.060 0.032
225 0.500 0.067 0.036
235 0.501 0.072 0.039
245 0.501 0.077 0.042
255 0.502 0.082 0.044
265 0.502 0.085 0.046
275 0.502 0.088 0.048
285 0.503 0.089 0.049
295 0.503 0.090 0.049
