100	2836	53.2541	0	0	0	0%
105.511	2291	47.8644	0	0	0	0%
111.326	1796	42.3792	0	0	0	0%
117.462	1338	36.5787	0	0	0	0%
123.936	1003	31.6702	0	0	0	0%
130.766	774	27.8209	0	0	0	0%
137.973	600	24.4949	0	0	0	0%
145.577	436	20.8806	0	0	0	0%
153.6	329	18.1384	0	0	0	0%
162.066	252	15.8745	0	0	0	0%
170.998	165	12.8452	0	0	0	0%
180.422	121	11	0	0	0	0%
190.365	105	10.247	0	0	0	0%
200.857	79	8.88819	0	0	0	0%
211.927	59	7.68115	0	0	0	0%
223.607	44	6.63325	0	0	0	0%
235.93	18	4.24264	0	0	0	0%
248.933	21	4.58258	0	0	0	0%
262.653	9	3	0	0	0	0%
277.128	8	2.82843	0	0	0	0%
292.402	6	2.44949	0	0	0	0%
308.517	4	2	0	0	0	0%
325.52	1	1	0	0	0	0%
343.461	2	1.41421	0	0	0	0%
362.39	2	1.41421	0	0	0	0%
382.362	0	0	0	0	0	0%
403.435	0	0	0	0	0	0%
425.67	0	0	0	0	0	0%
449.13	0	0	0	0	0	0%
473.883	0	0	0	0	0	0%
