100	5650	75.1665	0	0	0	0-5%
105.511	4594	67.7791	0	0	0	0-5%
111.326	3451	58.7452	0	0	0	0-5%
117.462	2835	53.2447	0	0	0	0-5%
123.936	2130	46.1519	0	0	0	0-5%
130.766	1610	40.1248	0	0	0	0-5%
137.973	1215	34.8569	0	0	0	0-5%
145.577	959	30.9677	0	0	0	0-5%
153.6	691	26.2869	0	0	0	0-5%
162.066	517	22.7376	0	0	0	0-5%
170.998	382	19.5448	0	0	0	0-5%
180.422	296	17.2047	0	0	0	0-5%
190.365	224	14.9666	0	0	0	0-5%
200.857	163	12.7671	0	0	0	0-5%
211.927	110	10.4881	0	0	0	0-5%
223.607	85	9.21954	0	0	0	0-5%
235.93	62	7.87401	0	0	0	0-5%
248.933	26	5.09902	0	0	0	0-5%
262.653	29	5.38516	0	0	0	0-5%
277.128	23	4.79583	0	0	0	0-5%
292.402	17	4.12311	0	0	0	0-5%
308.517	13	3.60555	0	0	0	0-5%
325.52	3	1.73205	0	0	0	0-5%
343.461	5	2.23607	0	0	0	0-5%
362.39	4	2	0	0	0	0-5%
382.362	1	1	0	0	0	0-5%
403.435	4	2	0	0	0	0-5%
425.67	0	0	0	0	0	0-5%
449.13	0	0	0	0	0	0-5%
473.883	0	0	0	0	0	0-5%
