100	2032	45.0777	0	0	0	0%
105.511	1681	41	0	0	0	0%
111.326	1260	35.4965	0	0	0	0%
117.462	933	30.545	0	0	0	0%
123.936	706	26.5707	0	0	0	0%
130.766	582	24.1247	0	0	0	0%
137.973	417	20.4206	0	0	0	0%
145.577	324	18	0	0	0	0%
153.6	237	15.3948	0	0	0	0%
162.066	168	12.9615	0	0	0	0%
170.998	131	11.4455	0	0	0	0%
180.422	107	10.3441	0	0	0	0%
190.365	81	9	0	0	0	0%
200.857	58	7.61577	0	0	0	0%
211.927	32	5.65685	0	0	0	0%
223.607	29	5.38516	0	0	0	0%
235.93	16	4	0	0	0	0%
248.933	11	3.31662	0	0	0	0%
262.653	5	2.23607	0	0	0	0%
277.128	6	2.44949	0	0	0	0%
292.402	8	2.82843	0	0	0	0%
308.517	2	1.41421	0	0	0	0%
325.52	0	0	0	0	0	0%
343.461	2	1.41421	0	0	0	0%
362.39	1	1	0	0	0	0%
382.362	0	0	0	0	0	0%
403.435	0	0	0	0	0	0%
425.67	0	0	0	0	0	0%
449.13	0	0	0	0	0	0%
473.883	1	1	0	0	0	0%
