100	0.645557	0.0177342	0	0	0	30-50%
105.511	0.613382	0.0186944	0	0	0	30-50%
111.326	0.664449	0.0230651	0	0	0	30-50%
117.462	0.650755	0.0263458	0	0	0	30-50%
123.936	0.677067	0.0312985	0	0	0	30-50%
130.766	0.630785	0.0325102	0	0	0	30-50%
137.973	0.664824	0.0401122	0	0	0	30-50%
145.577	0.669642	0.0457798	0	0	0	30-50%
153.6	0.703306	0.055759	0	0	0	30-50%
162.066	0.682625	0.0645988	0	0	0	30-50%
170.998	0.717693	0.0762803	0	0	0	30-50%
180.422	0.576125	0.0704014	0	0	0	30-50%
190.365	0.667516	0.0913183	0	0	0	30-50%
200.857	0.54627	0.0915893	0	0	0	30-50%
211.927	0.710299	0.153006	0	0	0	30-50%
223.607	0.688775	0.156648	0	0	0	30-50%
235.93	0.796396	0.23829	0	0	0	30-50%
248.933	0.720083	0.263974	0	0	0	30-50%
262.653	1.17092	0.5957	0	0	0	30-50%
277.128	0.918366	0.439634	0	0	0	30-50%
292.402	0.473533	0.220032	0	0	0	30-50%
308.517	1.72194	1.33381	0	0	0	30-50%
325.52	0	0	0	0	0	30-50%
343.461	0.516581	0.471572	0	0	0	30-50%
362.39	0.688775	0.843573	0	0	0	30-50%
382.362	0	0	0	0	0	30-50%
403.435	0	0	0	0	0	30-50%
425.67	0	0	0	0	0	30-50%
449.13	0	0	0	0	0	30-50%
473.883	0	0	0	0	0	30-50%
